p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,disease
14,10067,100861468,101927324,101929163,5,10745,11116,11262,114548,117289,1201,1401,144811,149233,150962,151306,157869,159296,163486,1788,1997,200728,219771,221895,22891,22904,2335,2358,2524,26191,2646,283463,284119,285626,3123,339145,345611,3458,3460,3479,3559,3569,3586,3593,3952,400757,4049,4088,4295,441108,4485,4689,51744,54106,5465,5468,54901,55024,55054,5536,55600,55765,56244,5699,57178,57606,5771,60468,63027,6347,63892,64127,64167,64170,647215,6556,6774,677775,7099,7124,7297,7332,7448,746,79722,80315,8209,84619,8477,84870,8635,8651,8807,8844,8863,8927,8929,8935,9223,Crohn Disease
10401,1499,1956,2067,2261,2475,3115,3116,3280,4524,4851,4853,5457,5915,6774,7015,7472,7474,7528,81037,841,9582,10060,1028,10772,1108,1583,1634,1645,2033,2099,2100,2146,221895,2263,231,23512,27030,2956,3206,3207,3294,332,3480,3576,406985,4216,4524,4780,5074,5241,5424,54894,55294,55558,55743,57016,5728,6347,6405,64061,6716,6770,6820,6935,7422,7869,8289,8405,8644,8743,9021,999,1012,1029,11178,11197,11214,125,131,1410,1440,148867,1588,1592,1956,2023,2064,217,220972,246,25,2597,27030,27113,2788,2810,2920,331,360,Uterine Cervical Neoplasm
1374,1401,1535,1536,1555,1557,1636,1839,19,2056,213,2168,2194,2981,3156,3162,3479,3569,38,4481,4627,4790,4803,50507,5054,5076,51085,51094,5465,56729,5742,5743,57817,5970,6347,653361,6720,6721,7040,7124,847,9370,949,9619,968,1026,10665,10736,11136,1191,142,1440,147,1471,1489,150280,1509,1536,1558,1577,1636,1728,183,185,1906,1950,2056,210,213,2243,2247,23322,2628,26762,27283,284086,29108,2950,301,3075,3116,3207,3237,3479,3557,3934,3953,4036,406967,406991,4353,4524,4601,4780,4843,4867,4868,4881,50484,5125,Kidney Failure Chronic
1019,1040,10409,10653,10769,111,11151,11186,112802,1266,1289,1312,140738,1447,1448,1468,1622,1674,1848,1901,1915,1956,1984,2023,2052,2064,2099,2100,214,2167,2180,2202,2335,23569,26012,2625,2628,2678,2771,2937,301,302,3021,3039,307,3178,324,3265,3399,3400,347733,3572,358,3638,3827,3852,3925,3963,4023,4072,4191,4254,4256,4282,4512,4692,5037,5045,50486,5154,51599,5223,5241,5245,5295,5315,5465,5617,5618,5685,5720,5725,5731,5764,5901,5921,5924,5925,5947,595,5950,5954,60,6122,6128,6208,6277,6279,6319,6414,Stomach Neoplasms
11035,1277,1278,2209,29108,3357,3553,3606,3689,3717,3934,4046,4851,5777,632,6347,6693,6696,7076,729,80781,836,9450,9719,10265,182,1827,1889,1906,1909,196,2138,2348,25836,27125,2767,2776,2812,3091,3198,3200,4524,4624,4851,4879,5243,5308,5460,55315,55534,64220,6899,6910,7042,7055,7353,7422,859,865,9314,9464,9839,9,100188836,100188877,100507308,10665,11173,136991,148738,1524,1636,1952,2100,217,221692,22808,2321,23293,23294,23316,25902,283450,338,338334,345,348,3570,375056,387573,387584,387585,388165,3949,3988,4018,4023,4088,4524,4633,Heart valve disease
21,1029,10549,10628,10892,10935,1213,2146,22872,238,2735,3106,355,4615,5170,5243,5290,5291,5293,5294,567,5820,596,6198,64411,64434,6502,6648,6649,79080,8085,84433,847,942,9429,973,974,983,1029,10664,1493,1788,355,3662,387,4170,472,4791,5335,5588,581,673,6777,6935,7128,7157,8289,84433,940,1654,2033,23269,387,5468,604,6774,6777,7157,80816,8289,1499,1977,1978,203,2475,2932,3492,472,5293,595,7473,80326,9411,101928354,1029,1030,10320,2052,3845,386607,4292,4524,4548,4851,4893,4968,5444,5728,5734,5756,Diffuse Large B Cell Lymphoma
22,100131395,100133941,100271694,100271695,100271696,100506047,10055,100616384,101927027,101927314,101928464,101928791,10198,10301,10461,10538,10636,10665,10892,11262,116986,117289,1268,140685,148867,1591,1594,160365,163059,2262,23095,2315,23274,27120,284677,285362,285626,285830,3115,3119,3122,3123,3128,3134,3383,3394,3456,348,3553,3559,3574,3575,3592,3766,4126,4162,4234,4249,4261,4397,440836,5010,5027,51300,5133,5443,54806,55765,55892,5594,56244,57178,57531,57727,5788,5817,58513,590,6041,60468,6198,6401,64084,642636,643,6556,6565,677,6774,6775,6850,7128,7132,7297,7410,7412,7813,79925,79970,Multiple Sclerosis
23,100188803,100188804,10019,100190928,100196918,100322878,100379200,3,100532732,100874048,1027,10318,10320,11277,1191,121260,1380,1389,1401,1445,170682,1773,1776,1997,2113,219285,2212,2213,2214,221527,221895,23274,23294,23534,25780,26191,283742,2842,286016,306,3092,3117,3120,3123,356,3565,3569,3586,3593,3663,3684,3687,3918,404714,4299,4439,474354,50615,5133,54887,54899,55024,5617,5743,57661,57705,59067,629,639,640,64135,64695,64805,6775,7100,712,7128,7148,717,720,7292,7332,79016,79932,84159,941,9474,0,0,0,0,0,0,0,0,0,0,0,0,Lupus Erythematosus Systemic
10,10013,100188789,10040,1012,10158,101669767,10207,10257,1026,10263,1027,10333,10397,10417,10439,10451,10481,10499,10516,10551,10587,10625,10809,10857,10928,10945,10948,10951,10955,10961,11005,11009,11176,11178,11187,11200,114609,116113,1191,12,1200,1266,1312,1316,1317,1365,1366,136991,1387,1410,142,143686,1465,1469,1474,1488,1499,150084,1508,1509,153090,154,1543,1545,1548,1557,1562,1571,1576,1577,1586,1588,1605,1636,1647,1672,1728,1775,1786,1789,1902,1950,1956,1958,196,2012,2014,2052,2064,2065,2068,207,2078,2099,210,2100,2115,2118,2146,Prostatic Neoplasms
24,10062,1051,123,1281,1571,1588,2147,2149,23411,26291,284111,2875,2876,3032,3087,3169,330,338,3440,3576,3630,3949,3952,406903,406924,406931,406942,406946,406952,406959,406974,407040,412,4143,442892,4547,4609,494333,5054,51547,540,54205,5443,5465,5467,574434,574506,5757,6514,664617,6648,6720,7018,7099,7124,7351,7494,79661,80339,847,8856,9420,1281,1440,1544,1728,174,196,2027,210,23576,23600,241,249,2570,2678,27040,27306,2869,2875,3101,3162,3303,3556,3581,3589,3694,3728,4318,4524,4790,4843,4864,5265,540,54210,56624,5879,59,Fatty Liver
100,100187724,100188314,100188317,100188816,100188820,100188832,1007,1008,101928890,10771,11141,11281,1137,1139,1141,114788,116442,116987,117583,121278,1312,133,1356,139411,140733,151556,152330,152789,154,158,1588,1600,1610,170572,1717,1719,1745,1746,18,1806,1812,1814,192683,1950,1959,200150,2020,205428,2131,220,221035,221037,22871,22941,22999,23078,23178,23245,2332,23394,23705,2550,2554,2555,2556,2557,2558,2560,2562,2571,26047,26056,26470,2690,26960,2697,270,27044,27185,27347,2739,282553,285195,2876,2890,2898,2903,29091,2918,2944,2950,3002,30061,3069,3105,3123,3198,3237,324,Autistic Disorder
10052,100528007,10451,1071,10911,10928,111,11255,114818,118,1187,119032,1215,1277,1281,128611,1395,1401,140733,143872,1490,150,153,1535,1536,1543,156,1636,1813,183,185,186,1889,1906,1908,1909,196,2006,2056,210,213,2160,2161,221357,2242,23327,2335,2353,246,2475,26,2641,2643,2697,2701,2702,27020,2729,27347,2740,2778,2784,2796,2811,283450,2863,2876,2908,2920,2952,2953,2982,301,3077,3091,3162,3240,3290,3291,335,3357,3383,3479,348,348932,358,3630,367,3758,3779,3816,389036,3952,3953,3972,4023,4057,4158,4190,4313,Hypertensive disease
9,10019,100233226,10891,1152,1158,134,1385,1390,140,153090,1636,1649,183,1952,2056,2099,2147,2153,2162,221458,221692,23228,2626,2678,2729,2730,2932,3240,3291,3309,3383,3440,348,3553,3557,3569,3586,3690,375056,3816,3939,3957,4049,4306,4313,4318,440823,4625,472,4843,4846,4878,4973,5069,51330,5139,5327,5328,53345,5350,55759,5581,5687,581,59,596,5972,598,6285,6402,64805,6597,6647,6648,7040,7056,7077,7124,7137,7292,7804,8204,8315,836,847,8525,8678,0,0,0,0,0,0,0,0,0,0,0,0,Myocardial Infarction
151648,1636,183,1906,2100,2697,287,2992,3360,3757,3759,3827,4986,4987,54805,5502,551,5743,7200,775,102724814,1143,123099,143,151126,162333,2099,221079,284252,2890,29994,466,51196,84441,85461,8906,98,10060,111,116,135,142,1431,1432,154,1559,156,1756,1824,1829,183,1832,1906,2010,2056,207,23171,27063,282996,3082,3329,3336,355,3552,3553,356,3565,3569,359,3688,3920,3939,4000,4023,4217,4512,4607,4625,467,4720,4729,4879,4973,51422,5164,5443,5467,54968,5502,551,554,5563,5581,5594,5595,5600,57158,57381,5743,57724,Cardiac Arrhythmia
10232,1029,11009,1209,1268,1269,1499,1616,1647,1806,1890,196,2030,2202,2258,23022,2494,2543,27086,28,3091,3439,3440,3442,3576,3651,3791,3845,4061,4072,4221,4318,4609,472,4792,5328,5349,54465,546,5468,5727,5728,5743,5744,5909,5925,598,6648,6690,672,675,6750,6751,6752,6753,6774,6794,6847,688,7015,7040,7124,7157,7249,7298,7423,7490,7873,79728,79783,7980,84133,8626,8743,8795,8829,8837,9564,960,999,102800310,126549,1499,25976,29086,401022,4978,5290,672,675,6928,8028,83990,8631,92421,9,100381270,100507118,101927835,101928292,Lymphoma
9,100307118,100307119,100307120,100307121,100307122,100307123,130540,26166,2736,353238,3569,378805,3852,3872,4157,434,51151,5727,5921,6608,7015,7053,7157,7299,7507,7517,81037,8643,100124700,100507436,1012,101929072,1027,1029,1033,10468,10476,1050,1051,1052,10537,10553,10788,10961,10987,11315,117145,118,122953,1230,1312,1356,1401,1499,1509,1540,1543,1571,1586,1636,1646,174,1806,1869,1950,1956,196528,2,2023,2052,2099,2108,2147,2171,2182,2194,2203,2222,2248,2249,22937,2305,23095,2353,2475,2597,2658,2705,2719,27232,2752,2810,2897,29108,29126,2923,2944,2950,307,Carcinoma
1001,11249,1301,1586,1675,186,221472,245972,2554,25789,266,283,2857,3549,391051,4237,4790,5071,51643,5195,55110,55699,56287,5734,5742,6125,6424,7025,7111,713,784,8174,91937,931,9397,102800310,1306,1366,171024,257202,25976,28,284654,29086,401022,442913,4905,5290,54361,57522,6928,7015,7157,79915,8028,8631,92421,10111,11200,4361,4683,5728,580,5888,5889,5892,672,675,7157,79728,83990,10058,1013,104,10413,10454,10468,10772,11173,113251,114822,1164,116840,126306,131566,1364,144577,146433,146664,147906,151354,158314,1588,164395,1645,1646,170394,171558,1742,1756,Ovarian Diseases
10000,100196913,100329170,100507431,100528007,100528016,1012,101927134,101927279,101928630,101928882,10198,102724457,10274,10641,10659,10718,10752,10806,10814,10815,1108,1116,11278,113,1136,115111,116369,116987,1182,119032,119749,1268,1281,131177,1312,132200,133482,1356,146279,147657,147929,152330,160777,1610,166378,1739,1806,1812,1813,1814,1815,1983,203062,207,2107,220988,221393,222698,2242,2260,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,2475,255101,2559,2561,2563,2571,2572,25791,25797,25874,259173,26047,26051,26058,267012,2694,27184,27185,27257,280636,2823,284217,288,2887,2898,2901,2903,Schizophrenia
1000,10059,10462,1052,10611,1075,10928,10959,10965,1153,117579,1326,1329,1375,1398,1401,1432,153,154,1634,166,1737,183,1843,1848,1906,1959,2006,201475,2029,203,2150,2152,2171,2246,2247,226,22919,23491,2628,2634,2643,2690,27020,2710,2729,2768,28984,2920,2938,2946,2950,2992,3030,3082,3097,3098,3099,3146,3158,3162,3164,3303,3306,3313,334,3383,3397,3399,3459,3479,3486,3552,3553,3569,3572,3627,3659,3717,3726,374,3764,3791,389,406,4223,4254,4329,4478,4599,4691,4734,476,4792,4846,4878,5034,5037,5142,5160,Myocardial Ischemia
100126572,100170841,10038,10057,10125,10129,1020,1022,10257,1029,10461,10561,10577,10592,10643,1066,1071,10732,10859,10891,10908,11006,11056,1111,11190,113510,114785,114880,115265,1158,1200,1244,126129,1299,1396,142,1437,1440,1493,151126,154,1544,157313,1582,1588,1591,159162,1612,1617,1621,1633,1649,169270,1780,1806,19,1906,1950,196,201299,2052,2064,2067,2068,2071,2072,2099,216,2264,22943,23005,23150,23170,23178,23221,23242,2327,2328,23563,23683,239,2528,2571,2574,2575,2576,2578,2579,25830,25894,26022,266740,2670,26748,2690,2707,27257,27340,2735,28232,Peripheral Neuropathy
10266,10569,11167,11217,114882,1268,140609,1509,1565,1783,1813,2199,2246,22919,23014,23022,23164,23365,23683,25932,26037,26040,2688,26958,2784,284119,285172,2888,2934,302,308,323,3358,34,3488,351,3929,3952,412,4134,4199,4232,4321,4430,4651,4715,4811,4883,5020,51091,51141,51194,51201,51449,51738,5290,5443,5467,55055,55187,55706,5631,57620,586,5986,6158,6202,6234,6259,6678,6711,7124,7171,7431,801,80746,84064,8470,857,8701,8826,91404,9215,9370,948,9518,9619,9637,9926,0,0,0,0,0,0,0,0,0,0,0,Weight Gain
100288805,10082,10159,10238,10253,10265,10269,1055,10683,10743,11127,11285,113189,116442,1280,1301,1302,1404,1452,145258,146862,1499,152330,1745,1746,1749,1750,1788,1789,1827,1836,1889,1902,1906,1909,1956,2074,2077,2114,2138,2239,2245,2248,2253,2260,2263,2299,2303,23169,23314,2332,2348,2562,25836,26040,26229,2624,27164,2776,2812,282808,284058,285590,286077,29927,30062,301,30813,3166,317,3198,3200,3211,3339,3340,3664,3714,3954,4000,4036,4054,4087,4088,4089,4204,4313,4322,4335,4487,4488,4591,4851,5077,5080,5156,5251,5308,54499,546,54796,Craniofacial Abnormalities
10397,107,11228,1152,121256,1284,1387,1440,169044,1956,1993,201229,2033,2045,2260,22982,23314,26047,2899,2918,3398,3642,3815,429,4297,4610,551,55605,57088,5728,57683,5925,6597,6657,7157,7161,8570,862,9353,9425,9699,9774,348,3553,3576,3791,3845,3856,4233,4288,4297,4323,4354,4583,4790,4846,4878,4968,5074,5111,51196,51292,51738,5223,5241,5245,5265,5290,5328,54474,5468,5587,5617,56287,563,5728,5731,5743,58508,5915,59340,596,6091,634,6599,6648,6696,6774,6776,6794,6847,6934,7040,7124,7157,7170,7306,7367,759,760,Small cell carcinoma of lung
1000,10061,10131,10330,10347,10528,10549,10574,10628,1075,1081,10935,11200,1182,1201,1386,1475,1508,154664,1548,1642,1798,1950,1956,1969,2064,2065,2099,2247,2286,23,23028,23201,2321,23246,23586,26135,267,27034,27131,27339,28973,28998,2950,29777,29894,3191,3265,328,3420,354,3621,368,384,406984,406985,4074,4313,4363,4609,4695,4719,4723,501,5036,50813,51035,51042,51501,51594,5160,51728,5243,5244,5245,53635,540,5518,5524,5550,5564,55739,56915,5728,57610,5792,5826,5886,5909,596,6137,6138,6141,6194,6209,6223,6227,6231,6240,6257,Disease Progression
10321,10468,1048,10561,10615,10666,10824,11009,1277,1278,1288,1289,1290,1291,1293,1298,1305,1440,1543,1591,1719,1842,185,1893,2012,2252,22924,2335,23753,23767,251,2537,26998,27159,2744,3026,3292,3430,3446,3479,348,3481,3484,3486,3489,3553,3568,3569,3578,3589,3593,3603,3623,3627,3691,3694,3717,3732,3910,3958,3976,405,4133,4247,4256,4316,4320,4321,4324,4327,4585,4680,4684,5047,51554,5228,53832,56145,5618,56547,5655,56891,5740,5744,59272,5950,6317,6318,634,6750,7037,7040,7045,7046,7077,7078,7143,7185,80034,8741,Spontaneous abortion
10069,10215,10311,10317,10600,10694,11096,116159,116448,150082,150084,1637,1826,1827,1859,2078,2114,23515,23562,2551,25825,25966,2618,2623,26285,2897,29104,2946,29980,30811,3141,3150,3454,3455,3460,351,3576,3588,3753,3763,3772,406947,4513,4524,4548,4599,4600,4685,4908,5121,51227,53820,539,54014,54069,54093,54097,54101,54102,54148,54943,56246,56911,571,57466,58494,6285,63977,6450,6453,6493,64968,6526,6573,6647,6651,7001,7074,7113,7267,7432,7485,757,796,8208,861,8624,873,874,8867,9073,94104,9510,9551,9588,9875,9946,9980,9992,0,Down Syndrome
134,27429,3611,54205,572,57447,6647,6648,718,842,3945,3952,3953,396,3996,400500,4017,4046,406894,406902,406903,406913,406914,406921,406933,406937,406938,406984,406985,406988,406989,406996,407006,407007,407013,407021,4118,4193,4194,4211,4214,4240,4282,4283,4288,43,4311,4312,4313,4314,4318,4323,4363,442909,442910,4504,4524,4548,472,4722,4792,4829,4835,4843,4846,4851,4853,4854,4855,4897,4904,5002,5047,5055,5058,50618,50943,51081,51129,5138,51466,5154,51649,5174,51741,5241,5243,5245,5268,5290,5292,5300,5321,540,54567,55294,554210,55809,5609,56100,Transient Ischemic Attack
10015,100188821,100286836,10085,10131,10149,10449,10466,10484,10536,10971,10989,11062,1116,1191,1192,1278,1280,1292,1311,1509,1645,1646,1654,1808,1938,2023,205,2098,2108,23263,23321,2487,2512,25932,2597,26275,26354,27071,2744,2920,3030,3418,3419,3553,373156,4054,4088,4148,4478,4723,4728,478,48,4831,4976,5160,526,5333,5352,5358,5455,5468,54829,5518,55193,5689,57333,5901,59341,60,6372,6386,6389,6445,6513,652,654,6648,692089,7052,7296,7417,7430,7431,796,79763,7980,816,8200,84444,8464,860,8735,8854,9805,9961,0,0,0,Degenerative polyarthritis
100126315,100126318,10014,10243,10280,1066,10919,1133,1268,1312,1385,1392,1393,1394,1395,1769,1812,1813,1814,1958,2100,2222,2247,23237,2353,2354,23780,2550,2555,2566,2571,2572,26086,2668,27161,2890,2891,2902,2908,2915,3060,3061,3350,3351,3356,3611,3727,374868,401145,406919,406927,406928,406929,406946,406962,406994,406995,4204,442892,442898,442905,442913,442914,4803,4852,4887,4915,494329,494333,4986,4988,51088,5173,51738,5443,55714,5594,5595,5617,574441,57554,57586,590,594857,627,6506,6531,6532,6622,6870,7297,79571,79664,79694,801,805,814,815,81578,816,Cocaine Related Disorders
10,10188,1027,1029,10397,10468,10897,1124,1149,116966,117159,121256,121551,1233,128439,130814,1375,1381,1432,1437,1440,1499,153129,1571,158038,164395,166336,168002,170691,192286,1948,196,201163,2099,2272,22996,23302,23386,23404,23593,25,2705,27232,283927,2878,2944,30061,302,3054,307,3082,310,3162,325,3265,339896,342945,3439,3481,3558,3592,3593,3697,3725,374955,3845,3856,3875,4057,407021,4609,4645,467,4780,4891,5054,51201,51491,5357,540,5465,5468,5581,5685,57628,5800,5894,6319,64084,641371,6496,6725,673,6774,6925,7039,7124,7157,7204,7358,Neoplasms
10013,100996521,1017,1028,1029,10397,10481,10557,10589,10743,10855,10963,11098,11141,114795,115265,116071,116150,1191,1207,126129,1280,128611,128869,130540,1356,142,1437,1440,1474,1493,1545,160762,161291,1630,170589,172,1740,1823,1869,1896,202559,2033,2035,2056,2057,2066,2067,2150,2185,2194,220929,221074,221079,221294,222537,222546,22914,2321,23270,23512,23532,23742,245806,25797,25842,25913,26227,26472,26503,26507,2739,2767,2776,283130,283316,285761,2903,29103,2913,29901,30062,3066,3205,3238,328,3371,338398,340273,3439,3440,3442,3456,3458,3558,356,3619,3820,3958,402,melanoma
100130503,10111,1017,101928940,101928947,101929231,10451,10665,108,11127,117,117156,134430,142,149628,154,169026,1728,1767,1786,1906,2066,217,222256,22806,23108,23194,23274,23418,240,2549,25890,282617,284110,286046,29119,2944,2950,30009,3113,3115,3117,3119,3123,3135,3162,3176,3291,3371,3383,3553,3557,3560,3565,3567,3570,3593,3596,374,383,384,387129,3880,4088,414764,4318,4319,4589,4602,4843,4852,4855,5089,51088,51131,5142,5144,5328,5515,55876,5592,5660,5728,596,6037,60495,6095,632,6347,6352,6356,64375,6490,6584,6647,6701,7040,7078,7096,7124,Asthma
10280,1103,1128,11284,1136,1137,1138,1139,1143,1191,1244,1268,135,1392,147,1583,18,1812,1813,1814,183,210,2166,2247,2290,2353,249,2558,2572,2593,2784,2897,328,3350,3351,3456,348,348980,3553,3569,3612,3630,3737,3767,38,3952,3954,4204,43,4504,4803,4804,4842,4843,4852,4986,4988,5020,5066,5173,51738,538,5428,5443,54715,54805,54886,5580,57030,5743,57468,57534,5816,590,5978,627,6505,6513,6529,6530,6546,6547,6648,6750,6752,6792,6854,6925,7200,7249,7779,847,8777,8828,885,93183,0,0,0,0,Seizures
100128590,100130950,100289673,10082,101927587,101929423,102465508,10347,10418,10452,10658,10659,10858,10979,1139,1141,114876,1191,1200,121601,123041,137682,1378,1392,1471,1496,154215,1565,161,1636,1657,168667,1718,1808,196051,1965,2,2023,2041,2099,2147,2185,222255,22976,23026,23072,23215,23237,23385,23413,23607,23621,2567,25902,26330,267,27115,27328,274,285965,28969,2932,29780,29949,3077,3162,323,338645,341,3416,343641,344148,3479,348,3480,3481,3482,3492,351,353128,3553,3630,3635,3643,388325,3952,400511,406938,4129,4137,4299,43,4321,4336,4353,450086,4524,4535,4846,4852,Alzheimers Disease
