p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,disease
10,9,10019,10221,1030,11173,116519,1401,1636,1952,2056,2099,2100,221692,22808,23293,23294,23564,255738,2784,28,283450,2982,3162,325,345,3654,3667,375056,3949,3988,4018,4023,4049,406938,4314,4846,4879,490,5069,51530,5444,54805,55759,5743,574447,57608,6272,6347,Coronary Artery Disease
13,10529,10544,205,2147,2153,2160,2202,2243,2259,2266,23414,23555,254827,28,29922,3053,462,5327,54014,55245,5624,57153,60676,63895,653140,6838,6875,7124,728215,728755,8089,91543,91584,9630,9727,0,0,0,0,0,0,0,0,0,0,0,0,0,Venous Thromboembolism
10188,1050,1072,10897,10975,1124,121256,1373,140885,164395,166336,192286,1948,1950,217,2305,23302,23404,2495,25,25839,2705,2941,2950,3033,307,3265,339487,3481,3484,3667,383,3856,406884,406886,406910,406937,406984,406993,406994,407017,407029,407033,407054,407056,4193,4353,442898,442903,Precancerous Conditions
14,10067,100861468,101927324,101929163,5,10745,11116,11262,114548,117289,1201,1401,144811,149233,150962,151306,157869,159296,163486,1788,1997,200728,219771,221895,22891,22904,2335,2358,2524,26191,2646,283463,284119,285626,3123,339145,345611,3458,3460,3479,3559,3569,3586,3593,3952,400757,4049,4088,Crohn Disease
10401,1499,1956,2067,2261,2475,3115,3116,3280,4524,4851,4853,5457,5915,6774,7015,7472,7474,7528,81037,841,9582,10060,1028,10772,1108,1583,1634,1645,2033,2099,2100,2146,221895,2263,231,23512,27030,2956,3206,3207,3294,332,3480,3576,406985,4216,4524,4780,Uterine Cervical Neoplasm
1281,1571,3569,4088,4313,4353,53345,596,5970,6648,7040,7076,7124,79143,80339,847,1036,10840,10855,114757,1268,127,1281,133,135,1373,1440,1544,1586,1733,174,183,1906,213,216,217,2173,219,2247,2326,23491,23600,2542,2645,2688,2690,2805,2875,2939,Liver Cirrhosis Alcoholic
10140,1021,1027,1390,1524,1647,1956,257019,257101,2944,2947,3039,3040,3043,3045,3047,3689,3872,5008,51251,5272,54205,55726,5734,6117,6251,7051,7832,79026,79722,83481,8766,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloracne
1374,1401,1535,1536,1555,1557,1636,1839,19,2056,213,2168,2194,2981,3156,3162,3479,3569,38,4481,4627,4790,4803,50507,5054,5076,51085,51094,5465,56729,5742,5743,57817,5970,6347,653361,6720,6721,7040,7124,847,9370,949,9619,968,1026,10665,10736,11136,Kidney Failure Chronic
123263,1355,137682,1738,1892,374291,4508,4514,4535,4536,4537,4538,4540,4541,4566,4567,4577,4578,4695,4720,4722,4723,4724,4728,51204,5428,55572,55699,617,6389,6834,79133,79731,91942,9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leigh Disease
16,100188846,100188870,100188871,100188872,100188873,100188874,100188875,10019,100301522,101927156,101927840,101928376,10301,117289,1233,1493,150223,150962,154215,2113,23150,23308,284099,29851,31,3115,3117,3119,317782,338332,3600,387357,4026,4650,4660,4774,5341,55892,57178,57514,5771,59067,60468,6311,7052,7473,79258,84162,Celiac Disease
19,100306938,100306939,1029,10413,11200,1621,23095,238,26038,2778,3082,3265,3456,3845,389421,4004,401237,4233,4513,4609,4613,4826,4830,4893,4914,4915,51144,5243,546,57492,57531,5781,5784,580,590,65018,6790,7015,7054,7153,729177,7869,81704,8289,83593,84181,8743,8929,Neuroblastoma
1019,1040,10409,10653,10769,111,11151,11186,112802,1266,1289,1312,140738,1447,1448,1468,1622,1674,1848,1901,1915,1956,1984,2023,2052,2064,2099,2100,214,2167,2180,2202,2335,23569,26012,2625,2628,2678,2771,2937,301,302,3021,3039,307,3178,324,3265,3399,Stomach Neoplasms
10,10257,10568,10599,10769,1191,1244,126393,134,135,1437,1440,150684,1544,1559,1565,1571,1719,2053,213,2243,26762,3106,3107,3162,3357,3479,3484,3562,4254,4363,4524,4548,4552,471,4780,5243,5465,54658,5743,590,5972,6470,6573,6578,6696,6948,7150,7298,Adverse reaction to drug
11035,1277,1278,2209,29108,3357,3553,3606,3689,3717,3934,4046,4851,5777,632,6347,6693,6696,7076,729,80781,836,9450,9719,10265,182,1827,1889,1906,1909,196,2138,2348,25836,27125,2767,2776,2812,3091,3198,3200,4524,4624,4851,4879,5243,5308,5460,55315,Heart valve disease
21,1029,10549,10628,10892,10935,1213,2146,22872,238,2735,3106,355,4615,5170,5243,5290,5291,5293,5294,567,5820,596,6198,64411,64434,6502,6648,6649,79080,8085,84433,847,942,9429,973,974,983,1029,10664,1493,1788,355,3662,387,4170,472,4791,5335,Diffuse Large B Cell Lymphoma
22,100131395,100133941,100271694,100271695,100271696,100506047,10055,100616384,101927027,101927314,101928464,101928791,10198,10301,10461,10538,10636,10665,10892,11262,116986,117289,1268,140685,148867,1591,1594,160365,163059,2262,23095,2315,23274,27120,284677,285362,285626,285830,3115,3119,3122,3123,3128,3134,3383,3394,3456,348,Multiple Sclerosis
23,100188803,100188804,10019,100190928,100196918,100322878,100379200,3,100532732,100874048,1027,10318,10320,11277,1191,121260,1380,1389,1401,1445,170682,1773,1776,1997,2113,219285,2212,2213,2214,221527,221895,23274,23294,23534,25780,26191,283742,2842,286016,306,3092,3117,3120,3123,356,3565,3569,3586,Lupus Erythematosus Systemic
10,10013,100188789,10040,1012,10158,101669767,10207,10257,1026,10263,1027,10333,10397,10417,10439,10451,10481,10499,10516,10551,10587,10625,10809,10857,10928,10945,10948,10951,10955,10961,11005,11009,11176,11178,11187,11200,114609,116113,1191,12,1200,1266,1312,1316,1317,1365,1366,136991,Prostatic Neoplasms
1010,1029,142,1437,1440,170679,170680,1728,1733,1838,2052,2261,23492,23495,23532,2952,3105,3315,3440,3569,3662,3981,4170,4582,54986,55892,5744,595,596,598,6347,664,6648,6678,694,84458,8701,942,9862,0,0,0,0,0,0,0,0,0,0,Multiple Myeloma
24,10062,1051,123,1281,1571,1588,2147,2149,23411,26291,284111,2875,2876,3032,3087,3169,330,338,3440,3576,3630,3949,3952,406903,406924,406931,406942,406946,406952,406959,406974,407040,412,4143,442892,4547,4609,494333,5054,51547,540,54205,5443,5465,5467,574434,574506,5757,Fatty Liver
25,102724068,108,10814,10815,1109,11320,1312,132160,1463,149465,157,160851,167681,1812,1816,22854,23345,23383,245,26011,27074,285375,287015,288,2898,2908,2917,2931,2932,3356,341880,3630,3697,3702,4524,4729,4774,4914,4915,51196,5142,5265,5443,55304,5649,5816,6258,627,Bipolar Disorder
100,100187724,100188314,100188317,100188816,100188820,100188832,1007,1008,101928890,10771,11141,11281,1137,1139,1141,114788,116442,116987,117583,121278,1312,133,1356,139411,140733,151556,152330,152789,154,158,1588,1600,1610,170572,1717,1719,1745,1746,18,1806,1812,1814,192683,1950,1959,200150,2020,205428,Autistic Disorder
10052,100528007,10451,1071,10911,10928,111,11255,114818,118,1187,119032,1215,1277,1281,128611,1395,1401,140733,143872,1490,150,153,1535,1536,1543,156,1636,1813,183,185,186,1889,1906,1908,1909,196,2006,2056,210,213,2160,2161,221357,2242,23327,2335,2353,246,Hypertensive disease
9,10019,100233226,10891,1152,1158,134,1385,1390,140,153090,1636,1649,183,1952,2056,2099,2147,2153,2162,221458,221692,23228,2626,2678,2729,2730,2932,3240,3291,3309,3383,3440,348,3553,3557,3569,3586,3690,375056,3816,3939,3957,4049,4306,4313,4318,440823,4625,Myocardial Infarction
151648,1636,183,1906,2100,2697,287,2992,3360,3757,3759,3827,4986,4987,54805,5502,551,5743,7200,775,102724814,1143,123099,143,151126,162333,2099,221079,284252,2890,29994,466,51196,84441,85461,8906,98,10060,111,116,135,142,1431,1432,154,1559,156,1756,1824,Cardiac Arrhythmia
10232,1029,11009,1209,1268,1269,1499,1616,1647,1806,1890,196,2030,2202,2258,23022,2494,2543,27086,28,3091,3439,3440,3442,3576,3651,3791,3845,4061,4072,4221,4318,4609,472,4792,5328,5349,54465,546,5468,5727,5728,5743,5744,5909,5925,598,6648,6690,Lymphoma
10887,1268,1312,133,1392,1437,1440,1813,1906,207,213,23236,2643,27185,2902,3060,3082,3084,3231,3269,3350,3363,3440,3557,3558,358,3827,400680,4878,4923,4986,5020,5173,5179,5368,5443,551,623,624,6548,6863,7124,7200,7432,7442,781,8989,9177,0,Pain
9,100307118,100307119,100307120,100307121,100307122,100307123,130540,26166,2736,353238,3569,378805,3852,3872,4157,434,51151,5727,5921,6608,7015,7053,7157,7299,7507,7517,81037,8643,100124700,100507436,1012,101929072,1027,1029,1033,10468,10476,1050,1051,1052,10537,10553,10788,10961,10987,11315,117145,118,Carcinoma
1001,11249,1301,1586,1675,186,221472,245972,2554,25789,266,283,2857,3549,391051,4237,4790,5071,51643,5195,55110,55699,56287,5734,5742,6125,6424,7025,7111,713,784,8174,91937,931,9397,102800310,1306,1366,171024,257202,25976,28,284654,29086,401022,442913,4905,5290,54361,Ovarian Diseases
10000,100196913,100329170,100507431,100528007,100528016,1012,101927134,101927279,101928630,101928882,10198,102724457,10274,10641,10659,10718,10752,10806,10814,10815,1108,1116,11278,113,1136,115111,116369,116987,1182,119032,119749,1268,1281,131177,1312,132200,133482,1356,146279,147657,147929,152330,160777,1610,166378,1739,1806,1812,Schizophrenia
10002,10210,10461,10594,123016,1258,1259,130557,138050,1406,145226,22926,23020,23418,23568,23746,24,24148,25794,26121,26160,2979,3000,3420,346007,3614,375298,388939,4117,4647,4751,4901,50939,5145,5148,5158,55812,55857,55975,57096,57709,583,5949,5961,5995,6010,6017,6094,6100,Retinitis Pigmentosa
1314,1409,1415,2091,2157,2213,23411,26191,2833,3156,3240,3263,3313,3458,355,3565,3569,3605,5175,5196,54414,567,57379,5913,5949,6648,6774,7132,716,721,7293,940,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Autoimmune Diseases
1000,10059,10462,1052,10611,1075,10928,10959,10965,1153,117579,1326,1329,1375,1398,1401,1432,153,154,1634,166,1737,183,1843,1848,1906,1959,2006,201475,2029,203,2150,2152,2171,2246,2247,226,22919,23491,2628,2634,2643,2690,27020,2710,2729,2768,28984,2920,Myocardial Ischemia
100529262,100529264,10144,10411,11097,1136,1138,123688,132320,1543,1544,170679,170680,1740,192668,200373,2052,260431,283229,3066,3107,311,3162,3356,338811,3576,3658,388815,4312,4318,4323,4843,4846,5265,57484,59341,6441,64478,6649,7040,7042,7124,7139,7157,7356,79890,80150,80195,925,Chronic Obstructive Airway Disease
100126572,100170841,10038,10057,10125,10129,1020,1022,10257,1029,10461,10561,10577,10592,10643,1066,1071,10732,10859,10891,10908,11006,11056,1111,11190,113510,114785,114880,115265,1158,1200,1244,126129,1299,1396,142,1437,1440,1493,151126,154,1544,157313,1582,1588,1591,159162,1612,1617,Peripheral Neuropathy
10266,10569,11167,11217,114882,1268,140609,1509,1565,1783,1813,2199,2246,22919,23014,23022,23164,23365,23683,25932,26037,26040,2688,26958,2784,284119,285172,2888,2934,302,308,323,3358,34,3488,351,3929,3952,412,4134,4199,4232,4321,4430,4651,4715,4811,4883,5020,Weight Gain
100190790,100190791,10082,10814,1137,1141,114784,121278,1268,1312,143689,158067,1804,1813,1815,1816,200373,201134,2013,2245,22801,23245,23284,28964,2911,2915,2917,2918,3682,388815,412,4122,4204,4336,450087,450088,450089,450090,5789,6531,6869,83706,9914,0,0,0,0,0,0,Attention deficit hyperactivity disorder
1410,2056,23411,2495,2668,2878,2936,2944,2946,2948,2949,3060,3162,347,351,3569,3620,4137,4257,4803,4804,5265,5311,5413,54902,5663,56894,6414,6622,6648,6709,7431,80025,8622,8942,9118,9446,0,0,0,0,0,0,0,0,0,0,0,0,Neurodegenerative Disorders
100288805,10082,10159,10238,10253,10265,10269,1055,10683,10743,11127,11285,113189,116442,1280,1301,1302,1404,1452,145258,146862,1499,152330,1745,1746,1749,1750,1788,1789,1827,1836,1889,1902,1906,1909,1956,2074,2077,2114,2138,2239,2245,2248,2253,2260,2263,2299,2303,23169,Craniofacial Abnormalities
10840,132,1358,1431,1504,1757,191,1958,2098,229,2597,2778,335,37,4353,468,4830,4842,4846,4878,506,5106,5173,5327,5443,60,6187,6208,627,6648,7035,7086,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anoxia
10397,107,11228,1152,121256,1284,1387,1440,169044,1956,1993,201229,2033,2045,2260,22982,23314,26047,2899,2918,3398,3642,3815,429,4297,4610,551,55605,57088,5728,57683,5925,6597,6657,7157,7161,8570,862,9353,9425,9699,9774,348,3553,3576,3791,3845,3856,4233,Small cell carcinoma of lung
101927235,102724058,10617,1106,112755,1128,1129,1131,116442,150,207,2081,213,22953,2316,23271,2348,2353,2354,2562,26047,26053,2670,2876,2903,2904,2911,348980,3611,375449,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,57282,57468,57526,5789,627,6323,Epilepsy
100128714,1363,1489,154,1956,196,23411,2688,2778,2878,3159,3162,3164,32,3290,3483,3485,3630,3643,3667,367,3767,3952,3953,3990,412,4160,4846,5295,5360,5465,5468,5562,5563,56729,5728,57761,6414,6517,6648,6720,6721,7124,718,79661,8013,834,9370,948,Insulin Resistance
10736,1191,120237,1270,1387,1471,1509,1639,170825,2251,2326,2353,2554,2637,2664,2670,27040,283,2892,3297,331,340990,3718,3727,3797,3949,4744,5154,5179,5444,5630,598,6256,6404,6464,6615,6647,682,7074,7090,7114,7124,7431,7476,794,834,9118,924,968,AMYOTROPHIC LATERAL SCLEROSIS 1
1280,1356,1401,1786,1956,196,213,2180,2182,2932,3458,3553,3565,3569,3586,3596,3605,3952,406943,4314,4353,4982,51703,5243,5734,5897,6288,6424,6772,6774,6863,7124,7422,796,81567,847,90865,9173,9370,969,0,0,0,0,0,0,0,0,0,Arthritis Experimental
1000,10061,10131,10330,10347,10528,10549,10574,10628,1075,1081,10935,11200,1182,1201,1386,1475,1508,154664,1548,1642,1798,1950,1956,1969,2064,2065,2099,2247,2286,23,23028,23201,2321,23246,23586,26135,267,27034,27131,27339,28973,28998,2950,29777,29894,3191,3265,328,Disease Progression
1021,10397,1116,1475,1476,1501,1508,1513,182,1848,1950,1956,2195,2335,23462,23476,23512,2355,23635,26136,2668,2952,3020,3091,324,3280,3440,346288,3553,3558,3576,3714,4194,4233,4255,4313,4318,4609,4763,4851,4853,4854,5071,5292,5371,5747,590,648,7052,Glioblastoma
10321,10468,1048,10561,10615,10666,10824,11009,1277,1278,1288,1289,1290,1291,1293,1298,1305,1440,1543,1591,1719,1842,185,1893,2012,2252,22924,2335,23753,23767,251,2537,26998,27159,2744,3026,3292,3430,3446,3479,348,3481,3484,3486,3489,3553,3568,3569,3578,Spontaneous abortion
9,100316847,100415894,100415895,100533107,1029,1030,1116,11170,1233,137196,1657,1755,1956,2064,2247,2260,23187,23362,23512,2495,2668,2950,3020,3105,3106,3107,338030,3417,347,3592,3593,3925,404685,4192,4255,4436,4602,4603,4638,4763,482,4914,4915,4916,51750,5347,546,5468,Glioma
10069,10215,10311,10317,10600,10694,11096,116159,116448,150082,150084,1637,1826,1827,1859,2078,2114,23515,23562,2551,25825,25966,2618,2623,26285,2897,29104,2946,29980,30811,3141,3150,3454,3455,3460,351,3576,3588,3753,3763,3772,406947,4513,4524,4548,4599,4600,4685,4908,Down Syndrome
1000,1139,1141,120892,1268,1270,134,1356,147,1499,1644,1965,2056,2057,2114,2147,2247,23287,23400,2896,2906,2914,334,3458,3479,348,3481,351,3761,3763,3952,4287,4359,4803,4804,4842,4908,4909,4968,5015,5071,51542,51738,5327,54541,5468,5594,5595,5663,Nerve Degeneration
134,27429,3611,54205,572,57447,6647,6648,718,842,3945,3952,3953,396,3996,400500,4017,4046,406894,406902,406903,406913,406914,406921,406933,406937,406938,406984,406985,406988,406989,406996,407006,407007,407013,407021,4118,4193,4194,4211,4214,4240,4282,4283,4288,43,4311,4312,4313,Transient Ischemic Attack
1051,1128,120,1233,142,1636,1958,213,2147,2153,23765,27113,2876,3091,3383,3552,3553,3557,3569,3588,3594,3605,3606,3627,3725,41,4318,4353,4524,4790,4792,4843,5327,5328,54205,5594,5595,5604,56616,5743,5925,5970,627,6347,6348,6351,6356,6401,6647,Brain Ischemia
10015,100188821,100286836,10085,10131,10149,10449,10466,10484,10536,10971,10989,11062,1116,1191,1192,1278,1280,1292,1311,1509,1645,1646,1654,1808,1938,2023,205,2098,2108,23263,23321,2487,2512,25932,2597,26275,26354,27071,2744,2920,3030,3418,3419,3553,373156,4054,4088,4148,Degenerative polyarthritis
100126315,100126318,10014,10243,10280,1066,10919,1133,1268,1312,1385,1392,1393,1394,1395,1769,1812,1813,1814,1958,2100,2222,2247,23237,2353,2354,23780,2550,2555,2566,2571,2572,26086,2668,27161,2890,2891,2902,2908,2915,3060,3061,3350,3351,3356,3611,3727,374868,401145,Cocaine Related Disorders
1012,1061,128674,1312,135,137868,1565,158038,1604,1812,1813,1814,1815,2052,207,2272,22913,23090,23245,23305,23307,23362,2353,2566,26289,26575,26577,2668,2912,2944,2950,2952,3084,313,3351,3359,3362,340267,344558,409,43,4645,4842,4886,4988,5104,5142,5144,5146,Amphetamine Related Disorders
10,10188,1027,1029,10397,10468,10897,1124,1149,116966,117159,121256,121551,1233,128439,130814,1375,1381,1432,1437,1440,1499,153129,1571,158038,164395,166336,168002,170691,192286,1948,196,201163,2099,2272,22996,23302,23386,23404,23593,25,2705,27232,283927,2878,2944,30061,302,3054,Neoplasms
100126313,100126318,100506742,153,1536,183,1906,213,23411,2697,3091,331,3383,3827,406891,406902,406903,406913,406924,406928,406934,406948,406957,406959,406962,406964,406968,406974,406989,406991,407011,407018,407019,407020,407022,407042,442902,442903,442904,442905,442911,442914,442920,4843,4846,488,494323,494324,5350,Myocardial Reperfusion Injury
100130460,100506532,100506697,100528007,100529257,1012,10129,101927697,105,114792,125150,128611,143872,144100,1445,152330,1586,1612,200810,2122,219621,221692,2242,2272,22834,22978,23026,254102,27347,283450,2887,2982,3010,3778,4036,4134,4524,4856,4883,490,4978,51196,53353,54897,54986,55333,55553,5593,57412,Systemic arterial pressure
10135,10203,10261,10437,10549,1075,10875,10981,1154,133418,1390,1543,156,2114,2162,2215,22822,23460,2533,25797,26034,2920,3290,3458,3552,3558,3559,3565,3567,3586,3684,4084,4222,4360,4780,4814,4926,5067,51284,5292,5327,596,5996,6303,6363,63924,6401,6480,6515,Dermatitis Allergic Contact
100302150,100422970,100506606,100533975,10666,140733,144406,153830,163,2149,221037,23095,26052,2972,30845,4208,4778,50650,51012,51272,51281,55604,55711,572,57551,578,7168,7171,79774,80724,81704,8997,91828,948,9911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Platelet mean volume finding
100130460,100506532,100506697,100528007,100529257,1012,10129,101927697,105,114792,125150,128611,143872,144100,1445,152330,1586,1612,200810,2122,219621,221692,2242,2272,22834,22978,23026,254102,27347,283450,2887,2982,3010,3778,4036,4134,4524,4856,4883,490,4978,51196,53353,54897,54986,55333,55553,5593,57412,Blood pressure finding
100507098,101927119,102060414,102724766,10452,1071,114902,1295,1300,2074,221294,23539,24,2444,3075,341,3426,348,387715,389641,4855,55013,5654,5819,5890,5978,6103,6239,629,64802,6499,7046,7099,7148,717,718,735,7422,7936,81579,8797,8878,0,0,0,0,0,0,0,Age related macular degeneration
10102,137735,1440,150094,153,154,1674,1756,1824,1832,1956,282996,2876,355,356,3688,3757,4000,4306,4607,4624,4625,472,4878,4879,55759,5663,5664,5879,5894,5973,6331,6389,64651,6584,6648,70,7112,7134,7137,7139,7273,7709,7840,84665,948,9531,0,0,Cardiomyopathy Dilated
100128505,100507346,10144,101928165,101928765,101929558,10428,1136,120935,177,2122,23245,23500,3360,3672,401237,4035,4237,4277,4324,4340,450095,51665,51702,51741,57117,5727,5915,6638,7145,79807,79875,80317,81696,81706,83938,84071,8728,8872,92737,9828,0,0,0,0,0,0,0,0,Pulmonary function finding
1192,1277,1281,1289,1381,140465,140625,1984,213,2266,2495,2512,2810,3045,3956,396,4282,4734,5052,5176,5216,5268,54829,56005,5901,6275,6279,6280,6281,64499,668,6876,7001,7168,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keloid
10013,100996521,1017,1028,1029,10397,10481,10557,10589,10743,10855,10963,11098,11141,114795,115265,116071,116150,1191,1207,126129,1280,128611,128869,130540,1356,142,1437,1440,1474,1493,1545,160762,161291,1630,170589,172,1740,1823,1869,1896,202559,2033,2035,2056,2057,2066,2067,2150,melanoma
10803,1230,1235,142,1437,196,23,23411,2833,2919,3162,3458,3553,3554,3560,3565,3568,3569,3572,3596,3605,3606,3689,4283,4638,5196,5443,6347,6351,6354,6355,6356,6361,6363,6364,6369,6374,6376,6696,7040,7124,7132,7133,729230,7850,834,959,0,0,Pneumonia
100131315,100996485,101805488,101927324,10714,120376,143187,1499,171472,259217,2625,26585,283050,3911,3915,399948,4092,4512,51474,5157,5290,55289,55892,64359,6581,673,6926,6934,7040,745,80114,80776,81928,85415,894,999,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorectal Cancer
